pretty_comp,mbj_bandgap
H8(NO2)3,2.5865
KP(HO2)2,8.8897
Rb2Fe4O7,0.006
KBiF4,4.578
LuAsO4,5.3773
In4SnS8,1.3874
KSiBiS4,2.5871
Pm2CuGe,0.024
YAlSi,0.0142
BHC4NClF4,8.2171
VCo3,0.0153
Sr2SbAu,0.9751
ErHO2,6.2967
Rb2CdCl4,5.0716
K2Be2Co,0.0553
NaSO4,4.6998
CaZnSiH2O5,5.9206
Nd2Pt2O7,1.2506
HgO2,1.4724
BaRu2Pt,0.0037
In2S3,2.4688
KTeOF3,5.5941
KSmTe2,1.8825
BaTlBr2,0.0048
H6PbCBr3N,2.6525
BeCuBr,0.041
USb2,0.0006
KBaLi2,0.0033
CoBiO4,0.2229
Ti(SiO3)2,3.7048
InPO4,4.67
Ge2N2O,3.9607
FeCuS2,0.0021
NaNiO2,0.006
Mg(NiO2)2,0.0062
K3Ge4Au,1.1621
ZrS2,1.1723
Mg3TeO6,4.3036
Er3InN,0.0729
NbCrSi,0.0485
K3PO4,7.5169
YCu3(Sn2O)2,1.1315
Er3GaC,0.1368
BeSi2Ir,0.002
Tb2In,0.0057
Ba2NdBiO6,2.3932
Ba2Sc2O5,3.6797
YbOs3,0.0026
KAuSe2,1.5046
LaTeCl,1.1583
CaAg,0.0032
PdPbF4,0.6824
SnO2,1.5247
Ca3P2,1.2341
Sr4As2O,1.7967
Ho2TeO2,1.8002
Mg3BN3,2.5286
VB,0.0014
Pr5AgSe8,1.7732
Er(Al2Fe)4,0.0034
RbPbBr3,2.692
RbPbIO6,2.514
TlSbTe2,0.4244
Sr(PPd)2,0.0021
Al2ZnS4,3.3056
Hg2P3Cl,1.8882
KPt2Se3,1.4374
LiAg2F4,3.8911
HoPd,0.006
Mg5(HO3)2,6.3357
Nd2HgO4,3.3158
Be2InNi,0.008
Rb7Au5O2,1.3544
OsCl4,2.018
Pr2Zr2O7,4.6833
RbCaCl3,7.0752
Ge2Mo,0.0482
KNaMg2Si4F2,7.8681
Be2VRh,0.053
NaLuS2,3.417
Er2SO2,4.6642
KCl,8.394
B2Ru,0.0038
TaAlOs2,0.1093
LiNdSn,0.0803
CuH6BrN2,2.8809
Na4BeAlSi4ClO2,7.6506
TmHO2,7.1084
Ca4Al6SO2,6.3296
PrTe,0.0239
Be2TcIr,0.0055
Ba3Ge2(BO)6,6.1889
ErSi2,0.0172
BeNbMo,0.0048
CaCl2,6.7646
LiZnP,1.9278
TiAsP2,0.0102
MoP2,0.0293
RbBrF4,4.9875
P4Ru,1.3777
Ag6Mo2ClO7F3,2.5001
HoMgAu2,0.0104
Na2(CaSi)3,7.2129
TmP,0.3254
CoSnH2(OF)6,1.8723
Ba2SmSbO6,5.0592
ScIr3,0.0046
Mn2HO4,0.0172
Er2Si2O7,7.2587
PmTlAg2,0.0179
RbSmSe2,2.9684
ZrB,0.006
NaLi2N,3.4864
Th(SiNi)2,0.0051
TaPt3,0.0125
NaC,5.3249
CaSiSnO5,5.0578
NdOF,6.1518
Yb3Si5,0.022
TaAsO4,4.1021
Mg3P2(HO)6,7.5091
SnS,1.8831
Li2H2Pd,0.0892
KRb2NiF6,7.3299
GaF3,7.9687
SrBeBr2,1.3751
Mn3N2,0.0263
Rb2As3,0.7919
SnH8(NF3)2,7.2996
Li2MgSi,0.5446
Be2TlHg,0.0034
Sc2TeO6,3.8019
Sc2FeSi2,0.0093
ZrSiPt,1.4126
Be2ReTe,0.0239
CdInRh2,0.0754
AsIr2Rh,0.0334
NbAlRu2,0.1236
Rb2ZnF4,6.9756
LiCuO,1.7333
Ti2ZnTc,0.0204
Li4GeO4,6.3176
GaCuO2,1.1719
KEuS2,3.2762
K3VSO3,3.3982
ZnH4(ClO3)2,4.1998
BeTl2Fe,0.0043
TiGaPd2,0.0349
KH3C2O3,7.4189
Co3(CSe)2,0.0096
PrPt2,0.0261
Mn2SiRu,0.023
Sr4Bi2O,1.3088
K4P2O7,7.6121
Tl2Pt2O7,1.2844
UTeS,0.0009
Rb3BS3,3.9873
BeInCl,0.0125
XeIF7,4.7943
NaCSN,5.1965
Lu6WO2,3.7135
KBi2F7,6.3735
CoPH6O6F,4.2783
Sm2SiTeO4,2.698
ZrBe2V,0.0063
SnS,0.9011
Ba3AsP,0.7099
SrSeO3,5.0513
Si2SnO6,4.8844
Ba4ZrNb,0.0204
Mg(ScSe2)2,1.6832
Cr3Rh,0.0067
Er2CuPt,0.0199
AcInTe2,1.0771
Pb3O4,1.7273
Ti3Sn,0.0109
BPd2Br,0.1291
Ba2TbBiO6,2.4475
AgSbS2,1.7199
BaLiBi,0.8919
MnBeTl,0.0088
YTh4,5.0346
AlTl(MoO4)2,3.9249
Zn(AgO2)2,0.5695
Hg(AuF4)2,2.142
NaCaBe2B2O6F,8.1519
SrAl2B2O7,7.3878
PuCo2,0.0049
Na2Zn(SiO3)2,6.2792
TaBeRu,0.0064
HPbClO,4.3391
Er3Sb4Au3,0.6585
BaCoBr2,0.0679
Be2CuBr,0.0045
YBr3,3.5905
Ta3N5,2.1559
SnS2,2.7992
BaCa2I6,4.194
NaEuS2,3.3654
V4SiSb2,0.0015
VF5,3.079
Pm2Mg,0.0227
Li5CuSO2,2.6721
Ba2NaHf,0.0355
TcAsW2,0.0049
CdP2,2.0759
Be2CdFe,0.0268
CBrN,6.1859
RbScO2,4.5912
TaInO4,5.1479
Li2FeSiO5,0.1221
Ba(CuSe)2,1.1145
Rb2S5,2.6989
Ga2PbO4,5.0791
NaClO2,3.9761
H4NCl,7.0273
BeTcBr,0.0242
Nd3GaN,0.0296
MgO,4.7334
LuBrO,6.1942
AsOsBr,0.0023
Sr2MgH6,4.1306
BeIn4Mo,0.1116
Mg3V2O8,3.4458
LiHoSe2,2.2028
KGeCl3,2.1653
Er2CdS4,2.2279
Ca2IN,3.072
SrGaGeH,0.9693
BeV2Cr,0.0021
K2S3,2.5958
MgTiO3,4.0159
Tm2IrRu,0.0603
BeAlB,0.3057
ZnCdSe2,2.1892
Nb3TeCl7,0.8863
Li2CuAu,2.3015
SrTiSi2O7,3.7268
Te2Mo3W(SeS2)2,0.1924
KYbS2,0.0037
Pr2Te2O7,2.0194
TbY3,0.0054
TmCuSe2,1.612
Cd(InTe2)2,1.7152
Mg2SnO4,4.6551
TiAu4,0.0001
Li3YBi2,0.1071
KHgSb,0.1331
CaGeN2,4.299
Ca(CdAs)2,1.1421
NaTaN2,2.2363
Hg3AsS4Cl,2.6273
KNaNdNbO5,4.4119
LiDyHg2,0.0513
K8PO3,4.1229
KBe2Ga,0.0294
Zn(InS2)2,0.7486
MgSc2Tc,0.052000000000000005
SbBrO,2.4663
PuC,0.0133
CuH2(IN)4,1.1069
Ca6Sn2NF,0.35600000000000004
RbYS2,3.2821
ZrTiO4,2.9163
Be2SbW,0.005
MnAlCu2,0.0244
Na2AlH4ClO4,7.1341
Yb2AsAu,0.6758
CdHg2SO6,2.7181
SrO2,4.2485
Tl4SnTe3,0.3422
Ba(BIr)2,0.0097
Y3TlC,0.0987
K3Zn2F7,6.9803
DyP,0.3018
Th(CrSi)2,0.0032
RbCdAg3(CN)6,3.2251
K2YBe,0.0033
Ag2H2IOF,2.5669
SiH3I,5.1429
Lu(SiRu)2,0.0026
ThBrN,0.0007
SrBrF,6.8525
NaSmHg2,0.009000000000000001
KTiPSe5,0.8533
TiCu,0.0067
NaSmTe2,1.8186
Tl4SiS4,2.6236
Sm2AlNO3,2.4146
MgO6,6.2075
KMnRu,0.0569
SiRh3,0.0019
Sr3TaAs3O,1.7323
Li5InO4,4.8158
Ca4IrO6,2.7693
AsF3,7.6286
Li4Ti3V3(TeO3)2,0.0077
InAg(PS3)2,1.9441
BeCrO4,2.3244
Er2Te5O3,4.6989
ErAg(PSe3)2,2.2143
HoH2,0.0336
NdAgPb,0.0608
Mo(WSe3)2,1.3405
LiS,0.0383
LuIO,4.4861
BeCuHg2,0.0097
KAg2PS4,2.3727
NaNdS2,2.9485
Ba2HoSbO6,4.7413
Ca5B3O9F,6.8299
Cu3O2,0.0347
YSeCl,2.3699
ThNiSn,0.3721
Bi2SO2,1.7284
NbSiPd,0.0139
Nd2Sn2O7,4.2691
Co(C2N3)2,0.2595
NbBiO4,3.1106
Th2TeN2,2.0793
ZrCl2,0.8618
ErBi2IO4,2.7977
DyCuSeO,2.3015
Mn2OF3,0.0247
I2O5,3.878
MoH4O5,1.2817
InPF3,0.132
MnAlPt2,0.0084
BaZnO2,3.922
N2O,4.3948
SrH4O3,7.3225
CuBiO2,0.8844
RbErSe2,2.927
YbSbPt,0.0238
K2ScSi4F,5.9804
Pr(HO)3,6.3173
ZnSnSb2,0.2612
RhCl3,1.6656
Nd3PbC,0.0777
YAsO4,5.4718
SmSF,2.443
BiI,1.0145
BeSnBi,0.006
Sr(YS2)2,2.6925
Ta2PdS6,0.0418
Ag3AuS2,2.1557
TeHO3,3.3094
Te7Mo4S,0.7274
NaBe2Ru,0.0116
KTl2Bi,0.0186
SbI3(BrCl3)2,1.7412
Te3MoWSe,0.1965
Be2FePd,0.0086
Pr2PbSe4,2.122
RbN3,5.0555
CaBeNb2,0.0081
Sm(CoSi)2,0.0066
Ho2CuRu,0.0437
GePb3O5,2.857
Tb3BWO9,4.3036
BeFeBi4,0.0052
Ba3BiAs,0.2967
Sr(Li2P)2,1.6136
Tb2ZnNi2,0.0017
Ba4CrFe,0.0137
KNa2Bi,0.9381
Dy2Te5O3,4.5352
PAuCl8,2.2169
Re2SCl2,1.0585
Cr4InCuSe8,0.0929
KTlCl4,3.6214
As4S3,2.6927
HgPS3,2.5866
UTe,0.0079
PrGe,0.0051
BeMoP2,0.0349
Sr(ZnAs)2,1.1129
CrPt3,0.0179
Nd(SiRh)2,0.0027
Li4Ca3(SiN3)2,3.4085
CaBiO3,0.0712
K3Si,1.2595
Te2Br,0.6354
BaTlBi,0.6568
CrHgO4,2.0606
AsI3,2.4218
TiCo2Si,0.0502
HfBeCd2,0.0027
BaAl2O4,6.59
ThAs,0.0187
K2P2Pd,1.1465
UTe3,0.0013
BaH4(IO)2,5.3311
Ca4CN4,3.3132
Na2BeCl,0.0066
HoClO,6.4281
PbCl2,4.3027
CaCuP,0.0556
Ti5Pb5O4,0.0206
YClO,3.1657
CaHCl,5.0363
Na4CO4,6.1414
SrP3,0.9322
Co3Pt,0.0011
CaAgP,0.1838
VPbO3,0.0083
Na6P4W,1.7016
CeP3H8O7,3.1795
KGaS2,4.327
LaAs,0.3411
TaCuN2,0.5817
K3TaF8,4.5035
Yb(CuSi)2,0.0121
Sr2LiIn,0.0899
Ca4TiN4,2.8992
Nd5CuSe8,1.0061
MgNi2Sb,0.0256
Cd2PtRh,0.1114
BaCa2Bi,0.0067
MgMoN2,1.1371
Ag2MoO4,2.839
Y2TeO2,1.8251
YAgO2,3.3056
Be2Ag,0.0143
Lu2ZnIr,0.0308
Ga3BN4,3.5231
Ca(DyS2)2,2.8224
MnOF,0.0014
TaBi3O7,2.947
CdI2,3.3196
Rb2Al2Sb2O7,4.7342
Y3InC,0.0579
NbSeBr3,1.1206
CaO,5.0086
NaPrO2,5.2635
NbF4,0.0061
GaCuRh2,0.0543
NaAuO2,1.8512
YbCrO4,2.6085
InSb2S4Br,2.2197
TlPS3,2.4144
Rb2NaNiF6,7.9686
Li2YbPb,0.1044
YCl3,5.2828
BeCdIr2,0.0139
HPd,0.0697
Zn3Mo2O9,3.1318
Yb(MnSi)2,0.0102
Na6Sn2S7,3.4862
KAuSe5,1.507
Nd3SiAgS7,2.525
Pr2SO2,4.4255
NiP2,0.3766
Mn2AlV,0.0136
LiErSe2,2.2504
HoRh2,0.0119
GeF2,6.3069
Ho3CuSnS7,2.0595
KBa4Sb3O,1.5338
Rb2O2,4.2772
DySBr,3.5937
NaAg(CO2)2,2.4963
USnAu2,0.003
Ca4Bi2O,1.1983
Nd5As2Cl,4.7153
BeNiHg,0.0095
Ta3O7F,3.5463
Mn(SbS2)2,3.2015
SmCuO2,2.7999
Na4SrBe,0.0405
Sm2Ti2O7,3.1196
W(OF)2,3.3832
DySnRu2,0.0982
NpAl3,0.0017
SCl2O,4.8043
Ba2Bi6O,2.2604
CdBiS2Cl,2.7453
MgSnAs2,1.4345
Hf6NiSb2,0.0177
Mn(AlTe2)2,0.0007
Lu3Ga,0.0116
Sr2CuF6,6.7599
Zn2PtRh,0.0169
ScSbPt,0.7482
Na2PtO3,2.0546
BaHfO3,5.0629
Na2CrF4,0.4524
ZnSnO2,2.5329
Ca5W(N2O)2,3.4065
Th(CuP)2,0.4457
CdSiP2,0.0079
Cu3TeS3Cl,1.0717
Ce2AlNO3,0.002
TbAlAg2,0.062
Ca2Al2SiO7,6.5182
Ca2Mg5Si8(O11F)2,7.5070000000000014
Sr2UNi,0.0042
Rb2In4O7,3.1660000000000004
Pr2CdS4,2.7087
KTeAu,0.7792
Ti3TeO8,3.8337
Y3CuSiS7,2.1974
ThNCl,3.0481
TbOF,6.4081
Ba3SbAs,0.1449
LiHO2,0.002
CdHgO2,1.617
BaAuCl,2.5017
TiOF,0.0016
ErPbAu,0.1373
Ba4GaTc,0.0102
Ba4YV,0.0334
Er2Sn2O7,4.3799
ScBeCr2,0.01
BaS2,2.593
Pm3Sn,0.0061
Nd2O3,1.4102
Na2Se,3.9328
YAg,0.0315
Rb2CuCl3,3.2584
PtS2,0.9978
Ba2HfO4,4.9183
BeTc2Hg,0.0052
SmIn,0.0052
LuTlS2,2.0412
RhPb2,0.0012
RbAuBr4,2.0029
TbSb,0.1715
H7S(NO2)2,7.7277
BCl(OF2)2,2.319
Mn(NbS2)2,0.0171
Ba3Nb2ZnO9,3.4014
NdHO2,6.0837
HfGeO4,6.0645
Ba2Mn3(SbO)2,0.0077
YCd2,0.0192
Nd2SeO2,3.6273
K3SiTe3,2.6061
NaClO2,3.8848
Na2HF4,8.2341
RbBe2P3,8.5117
InGeCl3,2.0564
Cd2As3Br,1.5942
Pb5(SI3)2,2.5458
BaZnTe,1.8142
LiI,5.2516
Ho3ScO6,5.9411
AgSb2F2,4.8754
Ta3SeI7,0.8766
CaH2(BrO3)2,6.6157
HoAgSn,0.1133
PbCO3,4.868
V2P,0.0079
RbBiF3,2.7241
Sr2MgUO6,2.4788
WS2,1.5743
YNiSb,0.3093
Sr2CaBe,0.0091
TaBeOs,0.0076
Dy2Ti2O7,3.1146
PbO,3.3157
K2GeAs2,1.7622
Nd2SO2,4.4644
ScFe2,0.002
Cd(PtO2)3,0.4465
Zn2CoN2,0.0293
TiSCl6O,2.531
KAgO2,1.6076
InClO,3.959
NaHoO2,6.1993
Ba3(AlGe)2,0.0043
BiI,0.9824
TbCo5,0.0125
Na3CuO2,1.9824
Ca(MgSb)2,1.2267
MoH2Cl2O3,2.7254
Na2BePt,0.0226
HoCo5,0.008
BeP2Rh,0.0139
Si2TcOs,0.0209
Mn2CuSb,0.005
Dy3SnC,0.0653
Pb(SeO3)2,2.5078
HoTlTe2,1.0295
USe,0.021
HfSnO3,3.8457
MoWSe4,1.2874
MoW3(SeS3)2,0.7648
TmAg2,0.0076
TiBe2Ni,0.0086
Sc2AlRu,0.049
TiBe2Nb,0.0082
ZrBeBi,0.0017
Ti2AlO4,0.0269
Ca(HO)2,6.7585
Na2ZnS2,4.4437
TlN,0.2968
KPH2SO3,6.9737
Ir3Ru,0.0005
Ti3Zn,0.0212
ScGa,0.0006
Sm3CuGeS7,2.3767
TiInNi2,0.0469
CrCo3O8,0.1121
BH2N,6.1722
Sr3SiO5,5.7435
SrO,3.8865
TiSiNi,0.067
DyTlTe2,1.0214
Ag3N,0.0209
Bi2TeO2,0.4787
MoAs2,0.0014
TaBe2Cd,0.005
Rb2HgF4,4.0293
CO,7.3007
KCBr(NO2)2,2.4259
Ba2TbNbO6,3.7525
NaAlSe2,4.0777
K2HgO2,3.3782
U(CoGe)2,0.0027
Na5MoNO4,4.3637
Ba2H6Ru,2.152
Nd2TeS2,2.2169
Mg(VN)2,0.0025
CrSi2As,0.0108
Pm2MgAl,0.0514
BeSiP2,1.9369
TbCd2,0.0045
Ba2Zn3(AsO)2,1.1647
SiH,2.9479
Li2MnCuO4,0.0024
BaHfN2,2.2405
MgTiSiO5,3.3272
ZnRhF6,2.1203
ScTlRh2,0.0048
AlFe2Ni,0.0229
SrBeCl,0.0266
HfMgO3,3.4353
K2SnCl6,3.8606
Sc2ZnOs,0.0517
Tl2InGaF6,2.9039
YWN3,1.7944
Sc2S3,1.4952
NiN,0.013
Al2(FeSi)3,0.0081
NbAlNi2,0.02
Tm6CoBi2,0.0109
Li8HfO6,6.4358
K3Rh,0.0546
Sc3InN,0.0661
Ba4ZrTi,0.008
PaZnRu2,0.1255
U(SiNi)2,0.0036
CaCN2,5.1268
SrPb,0.0053
Sr2Sb2O7,2.6081
KNa(BH4)2,8.6564
CIN,5.0715
Hf3SnO8,5.5438
SrCuAs,0.4151
KMgH3,5.4997
S5N6,2.1285
LiNbTe2WO2,2.1984
Al2ZnSe4,3.5952
SiB3,1.9459
TiF4,5.2726
Co2B,0.0066
LuSb,0.217
KH2N,4.7043
CdCl2,5.5752
TePb2O5,2.8857
SbCl3F2,2.9703
PmInNi2,0.0237
ScSnPd2,0.0195
HfSiMo,0.0111
Be2TlRe,0.2043
HoTlO2,2.1253
Si2O5,4.5309
PH2F3,9.5788
Be2CdOs,0.0603
SiB6,0.0998
Lu2Pt2O7,1.8487
PrP,0.2459
SrTa2Bi2O9,3.3804
KAs4IO6,4.0854
PbI2,3.1383
Pr3Si2S8I,3.2703
PrClO,5.8751
LaSb,0.2178
CSNF5,6.7341
CdCu2GeSe4,0.5682
Sr3Cr,0.0077
TiCl2,0.0087
K2TcCl6,2.0146
Th(FeGe)2,0.0109
MgUO4,1.852
Sr(AlCl4)2,7.1598
Pm2AgGe,0.0181
Sm3Th,0.0046
Ta2OsW,0.036000000000000004
AgBiI4,1.5922
BaHgPb,0.0292
ScSn,0.9056
LuPS4,2.8522
K3CaP2HO8,8.1783
P2S7,2.5472
AlH3,5.6934
Cd(AuF4)2,2.3057
NaDySe2,2.6893
KThCuS3,2.3851
TaNiB2,0.0268
BAsO4,6.0053
B2S3,2.2902
Lu2TiO5,3.5466
CaSc2O4,4.5526
PbCN2,2.9065
Tm2CuPd,0.0113
NaHg2,0.0165
ScBeTe2,0.0039
ZnCN2,5.0894
ScBeIn,0.0182
Rb4CO4,5.0939
Mg4Ta2O9,5.6716
SiP,1.896
TiPCl9,2.6309
AlSiTe3,1.7423
Lu2Cr2C3,0.006
PbSO3,5.1677
K2BaP,0.0492
BeNb2In,0.0103
Hf2N2O,2.4124
KAlO2,6.4981
Lu2MgS4,2.972
ErBi2BrO4,3.2426
Pr(CuSi)2,0.0158
Ca4Mg3H4,4.6181
BeCrNi,0.0141
MgHg2,0.0065
CuB2(CN)8,5.8154
CuNiSb2,0.0066
CdSiO3,3.4251
K2HgS2,3.4026
VBiO4,2.3417
SrS2,2.7189
Ru(CO)4,2.2356
InSb2S4Cl,2.2284
K2BeSe,1.5577
Ca2YBiO5,4.1884
Ho2CoOs,0.0283
Na4CO4,6.2344
MoW2(Se2S)2,0.4423
MnS2(NO2)4,0.1442
YbCl2,7.5946
Bi2WO6,3.1899
RbBiF6,3.3049
Li2SnBi,0.0234
ScCuS2,1.037
Ba2NaCu,0.0216
CaTlF3,5.8494
DyMgZn2,0.0118
Ta3SBr7,1.1673
Tm6FeSb2,0.0128
Rb3ErO3,4.5939
Li7BiO6,2.6766
Yb(SiOs)2,0.0157
NdI3,2.6287
Li6Br3N,3.7391
SiS,0.9587
Ca3PN,1.5493
ErAs,0.243
SnRuW,0.0436
Be2VNi,0.0065
Sr4P2O,1.9295
Yb2ZnGa,0.023
Rb2NbAgS4,2.4511
HoCd2,0.0054
AsCl3,5.3869
Ga2HgTe4,1.5136
BPS4,2.8112
La2SO2,3.5978
KNdO2,5.3757
SiAs,1.6235
Ag3Sb,0.0091
AcOF,6.7732
Ba2TaBiO6,3.5552
Mn5NiO2,0.0463
PrCoSi,0.0191
Bi2SeO2,1.2524
Al2O3,2.6863
Mg2ZnAs2,1.7372
PbClF,5.0778
Ba4BeBr,0.0177
NaSmSe2,2.8279
Mg3(HO2)2,6.3269
Ca2SnO4,4.6613
V5Sb4,0.0822
NaTl3(SO3)2,4.396
Re(SeCl)2,1.2906
CaZnSO,4.5192
MgCuPd2,0.6758
Yb(SiRh)2,0.0052
Rb2TeI6,1.7506
VCu3Te4,0.5336
P2Pb3O8,4.9044
SmO,0.0146
BaAgSb,0.0755
CoSbS,0.0415
Sc3InC,0.0632
K3AlTe3,2.9739
CuAgS,0.8573
BW2,0.0039
Na2MgSiO4,6.816
SrHBr,5.2321
HfBRh3,0.5833
Sm3SnC,0.0196
KBaP,1.592
Fe(Sb2O)2,1.2787
MnAlAu2,0.0561
ZnCl2,6.2188
BaTaBr,0.0281
Ba2CaUO6,2.4414
Na2BHO3,7.149
FeCuO2,0.0148
CaBeSb,0.0151
GaAgS2,2.3601
SrClF,7.9106
ZrNiP,0.0123
BaBOF3,8.1132
GaTeI7,2.2971
PbSe2,0.7857
BrN3,2.5082
Cd(BH4)2,5.5064
BS2N2OF7,7.1459
MgSiO3,6.4719
RbAgO,2.5089
HoBiO3,3.9684
Cd(InS2)2,2.5661
KSc2F7,6.8501
Ca(BeAs)2,1.112
